Classification	RDP	UTAX	SINTAX	Consensus
Acremonium_furcatum	0	1	0	0
Acremonium_persicinum	0	2	0	0
Acremonium_rutilum	0	1	0	0
Acremonium_spinosum	0	1	0	0
Acrostalagmus	0	1	1	1
Agaricales	4910	0	0	4207
Agaricostilbales	29	0	0	15
Agaricus	0	6	4	6
Agrocybe	0	1	0	0
Agyriales	1	0	0	1
Alatospora	0	33	4	33
Alboleptonia	0	1	0	1
Albotricha	0	566	0	565
Alloconiothyrium	0	1	0	1
Allophaeosphaeria	0	2	0	2
Alogomyces	0	1	0	1
Alpinaria	0	4	0	4
Alternaria	0	163	21	46
Alternariaster	0	1	0	0
Alutaceodontia	0	1	1	1
Amandinea	0	3	0	3
Amanita	0	8	2	8
Amesia	0	24	0	14
Ampelomyces	0	1	0	0
Amphinema	0	18	7	11
Ampulloclitocybe	0	2	0	2
Amylostereum	0	2	1	2
Anguillospora	0	1	0	1
Annulohypoxylon	0	1	0	1
Antennariella	0	3	0	2
Anthopsis	0	2	0	2
Anthostomella	0	55	1	55
Anthracoidea	0	1	0	1
Anungitea_eucalyptorum	0	1	0	1
Anzina_carneonivea	0	1	0	1
Aphanobasidium	0	1	1	1
Apiosporina	0	1	0	0
Apiotrichum	0	1	0	0
Aplosporella	0	1	0	1
Apodospora	0	5	0	4
Apodus	0	60	0	60
Aquamyces	0	2	0	2
Arachnopeziza	0	3	0	3
Arbusculina	0	10	0	10
Archaeorhizomyces	0	15	8	15
Archaeospora	0	6	0	1
Archaeosporales	6	0	0	6
Armillaria	0	2	0	1
Arnium	0	14	0	14
Arrhenia	0	15	7	15
Arthrinium	0	2	0	1
Articulospora	0	15	0	13
Artomyces	0	1	1	1
Arxiella	0	1	0	1
Ascochyta	0	6	0	0
Ascomycota_incertae sedis	1	0	0	0
Ascomycota_incertae_sedis	0	0	0	1
Ascosphaera	0	2	1	2
Ascosphaerales	1	0	0	0
Aspergillus	0	6	3	3
Aspicilia	0	2	0	2
Asterodon	0	1	0	1
Asterostroma	0	1	1	1
Atheliales	26	0	0	13
Athelopsis	0	3	2	3
Aureobasidium	0	106	0	50
Auricularia	0	24	2	24
Auriculariales	4	0	0	3
Auriscalpium	0	1	0	1
Austrogautieria	0	2	0	2
Bagliettoa	0	1	0	1
Balsamia	0	1	0	1
Banhegyia	0	3	1	3
Barrmaelia	0	1	0	0
Battarrea	0	2	1	1
Bauerago	0	1	1	1
Beauveria	0	8	0	4
Belonioscyphella	0	32	0	32
Bensingtonia	0	6	3	4
Betamyces	0	3	0	3
Beverwykella	0	6	0	6
Biappendiculispora	0	2	0	1
Biatoropsis	0	1	1	1
Bipolaris	0	7	2	6
Bispora	0	2	1	2
Bisporella	0	13	0	11
Bjerkandera	0	2	0	1
Blastobotrys	0	1	1	1
Blumeria	0	13	6	11
Bolbitius	0	1	1	1
Boletales	15	0	0	1
Boletus	0	1	1	1
Botryobasidium	0	1	0	1
Botrytis	0	10	0	4
Bovista	0	6	0	0
Brachyphoris	0	4	0	4
Bradymyces	0	1	0	1
Brunnipila	0	1	0	1
Bryobilimbia	0	1	0	1
Bryochiton	0	4	0	4
Budhanggurabania	0	1	0	1
Buergenerula	0	7	0	3
Bullera	0	8	1	2
Byssochlamys	0	2	1	1
Byssocorticium	0	1	0	0
Byssoloma	0	1	0	1
Byssonectria	0	1	1	1
Byssosphaeria	0	14	0	14
Cadophora	0	0	14	4
Cadophora_finlandica	0	15	0	5
Cadophora_luteo-olivacea	0	12	0	8
Cadophora_malorum	0	22	0	7
Cadophora_melinii	0	1	0	1
Calathella_mangrovei	0	1	0	1
Calcarisporiella	0	3	0	3
Calicium	0	1	0	1
Calloria	0	2	0	2
Calocera	0	1	0	1
Calophoma	0	1	0	0
Caloplaca	0	3	0	3
Calycina	0	9	0	0
Calyptella	0	62	56	62
Calyptrozyma	0	16	1	16
Camarographium_carpini	0	3	0	3
Camarographium_koreanum	0	1	0	1
Camposporium	0	2	0	2
Candida	0	0	8	3
Candida_blattae	0	1	0	1
Candida_bombi	0	2	0	1
Candida_digboiensis	0	1	0	1
Candida_etchellsii	0	1	0	1
Candida_parapsilosis	0	1	0	0
Candida_sake	0	1	0	0
Candida_santamariae	0	1	0	0
Candida_subhashii	0	1	0	0
Candida_tibetensis	0	1	0	0
Candida_tropicalis	0	1	0	0
Cantharellales	29	0	0	28
Cantharellus	0	4	0	4
Capnobotryella	0	8	1	8
Capnodiales	239	0	0	237
Capronia	0	5	0	2
Celosporium	0	3	1	3
Cenococcum	0	2	0	1
Cephalosporium	0	4	0	4
Cephalotheca	0	1	0	1
Cephalotrichum	0	1	1	1
Ceraceomyces	0	2	2	2
Ceratobasidium	0	8	0	5
Ceratocystis	0	3	0	3
Cercophora	0	7	0	7
Cercospora	0	7	0	4
Cercosporella	0	1	0	1
Cerinosterus	0	1	1	1
Ceriporia	0	5	3	5
Ceriporiopsis	0	2	0	1
Chaetomidium	0	11	0	2
Chaetomium	0	34	2	21
Chaetosphaeria	0	10	1	10
Chaetosphaeronema	0	86	2	86
Chaetothyriales	436	0	0	408
Chalara_clidemiae	0	1	0	1
Chalara_holubovae	0	2	0	2
Chalara_hyalocuspica	0	4	0	1
Chalara_longipes	0	1	0	1
Chalara_pseudoaffinis	0	1	0	1
Chalastospora_gossypii	0	1	0	0
Cheilymenia	0	1	0	0
Chionosphaera	0	1	0	1
Chlamydopus	0	1	0	1
Chloridium	0	1	0	0
Chromelosporium	0	1	1	1
Chroogomphus	0	3	0	3
Chrysomyxa	0	1	1	1
Chrysosporium	0	0	1	1
Chrysosporium_speluncarum	0	1	0	0
Chrysosporium_vallenarense	0	1	0	0
Chrysozyma_griseoflava	0	4	0	1
Ciboria	0	1	0	1
Ciborinia	0	1	0	1
Ciliciopodium_brevipes	0	1	0	1
Circinaria	0	1	0	0
Cirrenalia	0	1	0	1
Cistella	0	323	24	323
Cladonia	0	3	1	2
Cladophialophora	0	289	57	83
Cladorrhinum	0	1	0	1
Cladosporium	0	51	1	28
Claroideoglomus	0	19	10	15
Clathrosporium_intricatum	0	1	0	0
Claussenomyces	0	1	0	1
Clavaria	0	9	2	9
Clavicorona	0	1	0	1
Clavispora	0	1	0	0
Clavulina	0	2	1	2
Clavulinopsis	0	19	2	14
Clematidis_italica	0	2	0	2
Clitocella	0	1	0	1
Clitocybe	0	8	2	4
Clitopilus	0	11	0	9
Clohesyomyces	0	438	10	438
Clonostachys	0	3	0	0
Clydaea	0	1	0	1
Clypeoloculus	0	1	0	1
Coccocarpia	0	1	0	1
Coccomyces	0	2	0	2
Colacogloea	0	0	1	0
Collarina	0	1	0	1
Colletotrichum	0	17	0	10
Colpoma	0	2	0	2
Coltricia	0	4	0	4
Comoclathris	0	45	1	39
Coniella	0	16	0	15
Coniochaeta	0	589	117	575
Coniochaetales	20	0	0	19
Coniolariella	0	2	0	2
Coniophora	0	1	1	1
Coniosporium	0	1	0	1
Coniothyrium	0	1	0	1
Conlarium	0	0	1	1
Conocybe	0	17	8	14
Coprinellus	0	49	0	0
Coprinopsis	0	18	6	10
Coprinus	0	6	2	3
Cordyceps	0	1	0	0
Corticiales	1	0	0	1
Corticium	0	14	3	14
Cortinarius	0	25	12	18
Corynelia	0	3	0	3
Corynespora	0	8	0	7
Cosmospora	0	19	0	5
Crepidotus	0	7	5	7
Cristinia	0	2	2	2
Crocicreas	0	346	1	313
Crucibulum	0	1	0	0
Cryptococcus	0	156	3	37
Cryptodiscus	0	1	0	1
Cryptomarasmius	0	1	0	1
Cryptosporella	0	1	0	0
Cryptosporiopsis	0	1	0	1
Cudonia	0	1	1	1
Cudoniella	0	1	0	1
Cuphophyllus	0	6	1	3
Curvularia	0	46	11	11
Cutaneotrichosporon	0	1	0	0
Cyathicula	0	5	0	2
Cyathus	0	1	1	1
Cyberlindnera	0	3	1	3
Cyclaneusma_niveum	0	1	0	1
Cyphellophora	0	3	1	3
Cyrenella_elegans	0	2	0	2
Cystidiodontia	0	1	0	1
Cystobasidiomycetes_incertae sedis	1	0	0	0
Cystobasidiomycetes_incertae_sedis	0	0	0	1
Cystobasidium	0	5	1	3
Cystodermella	0	8	5	5
Cystofilobasidiales	495	0	0	43
Cystofilobasidium	0	4	2	3
Dacrymyces	0	8	0	8
Dacryobolus	0	2	0	2
Dacryopinax	0	1	0	1
Dactylaria	0	3	0	3
Dactylella	0	4	0	2
Dactylellina	0	2	0	1
Dactylonectria	0	9	0	1
Dactylospora	0	1	0	1
Daldinia	0	1	1	1
Darksidea	0	120	4	117
Dasyscyphella	0	2	0	2
Dasyscyphus	0	1	0	1
Debaryomyces	0	1	0	0
Deconica	0	62	10	47
Deniquelata	0	2	0	2
Dermea	0	2	0	2
Dermoloma	0	1	0	1
Derxomyces	0	2	0	2
Devriesia	0	1	0	1
Dialonectria	0	1	0	1
Diaporthales	113	0	0	113
Diaporthe	0	28	0	17
Diatrype	0	1	0	0
Dichomitus	0	2	0	1
Dichostereum	0	1	0	1
Dictyosporium	0	5	1	4
Didymella	0	22	0	6
Didymosphaeria	0	2	0	2
Dinemasporium	0	1	1	1
Dioszegia	0	81	14	47
Diplocarpon	0	1	0	1
Diplogelasinospora	0	4	0	3
Diplomitoporus	0	1	1	1
Dipodascus	0	1	0	0
Disciotis	0	1	1	1
Discostroma	0	3	0	2
Dissoconium	0	1	0	0
Diversisporales	10	0	0	5
Dominikia	0	1	0	0
Donadinia	0	1	0	1
Dothidea	0	50	0	50
Dothideales	202	0	0	201
Dothideomycetes_incertae sedis	10	0	0	0
Dothideomycetes_incertae_sedis	0	0	0	8
Dothiora	0	2	0	2
Dothiorella	0	2	0	2
Dothistroma	0	1	0	0
Drechslera	0	95	1	10
Echria	0	6	3	6
Efibula	0	1	0	1
Elaphomyces	0	7	1	7
Elasticomyces	0	3	1	2
Encoelia	0	1	1	1
Endochytrium	0	1	0	1
Endoconidioma	0	133	0	75
Endoraecium	0	1	0	1
Endosporium	0	0	1	1
Entodesmium	0	6	0	6
Entoloma	0	40	11	36
Entophlyctis	0	1	0	1
Entyloma	0	1	1	1
Entylomatales	1	0	0	0
Epichloe	0	423	0	51
Epicoccum	0	12	0	1
Eremascus	0	1	0	1
Erioscyphella	0	1	0	1
Erysiphales	18	0	0	9
Erysiphe	0	3	1	1
Erythricium	0	3	1	3
Erythrobasidiales	1	0	0	1
Erythrobasidium	0	2	0	2
Eucasphaeria	0	1	0	1
Euoidium	0	2	0	0
Eurotiales	69	0	0	48
Eurotiomycetes_incertae sedis	2	0	0	0
Eurotiomycetes_incertae_sedis	0	0	0	2
Eutypa	0	2	0	0
Eutypella	0	1	0	0
Exidia	0	2	0	1
Exophiala	0	153	5	112
Exserohilum	0	5	1	5
Extremus	0	4	0	4
Favolaschia	0	1	0	0
Fellozyma_inositophila	0	1	0	1
Fenestella	0	6	0	5
Fibulobasidium	0	1	0	1
Filobasidiella	0	1	0	1
Filobasidium	0	74	14	40
Flagelloscypha	0	12	7	7
Flagellospora	0	3	0	3
Flammulina	0	4	4	4
Flaviporus	0	12	0	12
Flavomyces_fulophazii	0	3	0	1
Flavoplaca	0	1	0	1
Fomitopsis	0	2	0	1
Fonsecaea	0	2	0	1
Fontanospora	0	4	0	2
Friedmanniomyces	0	1	0	1
Fulvoflamma_eucalypti	0	1	0	1
Funneliformis	0	2	0	0
Furcaspora	0	3	0	3
Fusarium	0	302	0	23
Fuscoporia	0	1	1	1
Fusicolla	0	1	0	1
Gaeumannomyces	0	43	0	12
Galerina	0	21	0	16
Ganoderma	0	1	0	1
Gastrosporium	0	3	0	3
Gautieria	0	2	1	2
Geastrales	23	0	0	14
Geastrum	0	16	7	13
Gelidatrema	0	11	1	10
Geminibasidium	0	2	2	2
Genolevuria	0	1	0	1
Geoglossum	0	7	3	6
Geomyces	0	4	0	4
Geopora	0	4	4	4
Geopyxis	0	1	1	1
Geosmithia	0	1	1	1
Gibberella	0	229	0	15
Gibellula	0	1	0	1
Glarea	0	866	0	563
Gliophorus	0	1	0	1
Globulicium	0	1	0	1
Gloeocystidiellum	0	3	2	3
Gloeophyllales	1	0	0	0
Gloeophyllum	0	2	1	2
Gloiothele	0	1	1	1
Glomerales	112	0	0	109
Glomerobolus	0	2	0	2
Glomus	0	31	2	13
Glutinoglossum	0	1	1	1
Gnomoniopsis	0	1	0	1
Goffeauzyma	0	1	1	1
Goidanichiella_sphaerospora	0	1	0	1
Golovinomyces	0	3	1	1
Gomphales	1	0	0	1
Gorgomyces	0	5	0	5
Graphiola	0	1	0	1
Grovesiella	0	1	0	1
Guehomyces	0	1	1	1
Gymnoascus	0	1	0	0
Gymnopus	0	71	2	70
Gymnostellatospora	0	4	1	4
Gyoerffyella	0	15	0	11
Gyrothrix	0	2	0	2
Hannaella	0	1	1	1
Hansfordia	0	0	1	0
Hansfordia_pulvinata	0	2	0	1
Harposporium	0	1	0	0
Harzia	0	1	0	1
Hasegawazyma_lactosa	0	1	0	1
Hebeloma	0	10	0	1
Helgardia	0	5	0	5
Helicodendron	0	6	1	6
Helicoma	0	2	0	2
Helotiales	2404	0	0	2371
Hemibeltrania	0	5	0	5
Hemimycena	0	8	0	6
Henningsomyces	0	2	1	2
Hericium	0	1	0	1
Herpotrichia	0	19	0	16
Heterocephalacria	0	7	1	7
Heteroplacidium	0	1	0	1
Heterosphaeria	0	36	0	36
Heterospora	0	2	0	2
Hirsutella	0	6	1	3
Hohenbuehelia	0	1	0	0
Holocotylon	0	4	0	0
Holtermanniella	0	0	2	1
Holtermanniella_takashimae	0	13	0	6
Homophron	0	1	0	0
Hormonema	0	65	1	17
Humaria	0	2	1	2
Humicola	0	27	0	11
Hyalopeziza	0	11	0	11
Hyaloraphidium_curvatum	0	1	0	1
Hyalorbilia	0	6	1	6
Hyaloscypha	0	57	0	50
Hydnellum	0	1	0	1
Hydnotrya	0	2	2	2
Hydnum	0	1	0	1
Hydropisphaera	0	1	1	1
Hydropunctaria	0	1	0	1
Hygrocybe	0	7	2	6
Hygrophorus	0	3	1	3
Hymenochaetales	10	0	0	4
Hymenogaster	0	3	1	2
Hymenoscyphus	0	286	22	273
Hyphoderma	0	6	4	6
Hyphodermella	0	2	0	0
Hyphodontia	0	9	6	9
Hyphodontiella	0	1	1	1
Hypholoma	0	2	1	2
Hypocreales	2053	0	0	2032
Hypomyces	0	2	0	2
Hypoxylon	0	3	0	3
Hypsizygus	0	2	0	1
Hysterangium	0	1	1	1
Ilyonectria	0	23	0	4
Immersiella	0	1	0	1
Incrucipulum	0	8	0	8
Infundichalara	0	87	0	87
Inocybe	0	38	7	26
Isaria	0	2	0	2
Itersonilia	0	8	2	4
Jattaea	0	1	0	1
Johnalcornia	0	2	0	2
Juncaceicola	0	86	3	83
Junewangia_lamma	0	3	0	3
Junghuhnia	0	2	0	2
Kabatiella	0	5	0	4
Kamienskia	0	1	0	1
Kappamyces	0	4	0	4
Kavinia	0	1	0	0
Keissleriella	0	4	0	4
Kendrickiella_phycomyces	0	1	0	0
Kickxellales	3	0	0	1
Knufia	0	49	4	31
Kochiomyces	0	3	1	2
Kondoa	0	9	0	6
Kuehneromyces	0	1	0	0
Kuraishia_capsulata	0	1	0	0
Kurtzmanomyces	0	31	11	22
Laburnicola	0	2	0	2
Laccaria	0	7	2	5
Lachnella	0	1	0	0
Lachnellula	0	28	0	28
Lachnum	0	3143	22	1817
Lactarius	0	6	5	6
Laetisaria	0	5	0	5
Lanzia	0	4	0	3
Lasiobelonium	0	23	0	23
Lasiosphaeria	0	2	1	2
Lasiosphaeris	0	1	1	1
Latruncellus	0	1	0	1
Lecanicillium	0	5	1	3
Lecanora	0	7	1	4
Lecanorales	15	0	0	11
Leccinum	0	2	2	2
Lecidea	0	7	1	6
Lecideales	2	0	0	1
Lecidella	0	3	1	2
Lectera	0	1	1	1
Lemonniera	0	6	0	3
Lentinellus	0	2	1	2
Lentinus	0	1	0	1
Leohumicola_minima	0	4	0	3
Leohumicola_terminalis	0	1	0	1
Leotiomycetes_incertae sedis	1	0	0	0
Leotiomycetes_incertae_sedis	0	0	0	1
Lepiota	0	4	1	3
Lepraria	0	1	1	1
Leptodiscella	0	0	1	1
Leptodontidium	0	0	1	1
Leptodontidium_trabinellum	0	4	0	4
Leptographium	0	1	0	1
Leptosphaeria	0	33	0	25
Leptosporomyces	0	1	1	1
Leptoxyphium	0	1	0	1
Leratiomyces	0	2	0	1
Letendraea	0	10	0	9
Leucogaster	0	1	1	1
Leuconeurospora	0	2	0	2
Leucopaxillus	0	2	1	2
Leucophleps	0	1	0	0
Leucosporidiales	6	0	0	6
Leucosporidium	0	8	0	2
Leucostoma	0	1	0	0
Limacella	0	1	0	1
Limonomyces	0	3	0	3
Lindgomyces	0	2	1	2
Lindtneria	0	1	0	1
Lipomyces	0	1	1	1
Lobariella	0	1	0	1
Lodderomyces	0	1	1	1
Lopadostoma	0	1	0	1
Lophiostoma	0	300	0	286
Lophiotrema	0	4	0	4
Lophium	0	1	0	1
Lophodermium	0	9	0	9
Lophomerum	0	1	0	1
Luellia	0	1	1	1
Lulworthiales	1	0	0	1
Lycoperdon	0	57	0	1
Lyophyllum	0	3	0	1
Macrodiplodiopsis_desmazieri	0	1	0	1
Macrohilum_eucalypti	0	2	0	2
Macrolepiota	0	1	0	1
Macrophomina	0	3	0	3
Magnaporthe	0	5	0	5
Malassezia	0	65	5	5
Malasseziales	68	0	0	64
Malbranchea_cinnamomea	0	65	0	13
Malbranchea_dendritica	0	1	0	1
Marasmiellus	0	189	0	2
Marasmius	0	150	140	149
Marchandiobasidium	0	1	1	1
Mariannaea	0	1	0	1
Massaria	0	6	0	6
Mastigobasidium	0	3	0	3
Mastigosporium_album	0	1	0	1
Melampsora	0	6	1	1
Melanconis	0	1	0	1
Melanoctona	0	2	0	2
Melanohalea	0	1	0	0
Melanoleuca	0	1	1	1
Melanospora	0	2	0	0
Melanosporales	3	0	0	3
Melastiza	0	2	0	2
Meliniomyces	0	63	3	54
Menispora	0	1	0	1
Meristemomyces	0	12	0	12
Meruliopsis	0	1	1	1
Metacordyceps	0	2	1	2
Metarhiziopsis	0	1	0	1
Metarhizium	0	4	2	3
Metschnikowia	0	246	242	244
Meyerozyma	0	1	0	0
Microascales	6	0	0	5
Microascus	0	6	0	4
Microbotryales	9	0	0	0
Microbotryum	0	8	8	8
Microcera	0	1	0	0
Microdochium	0	69	0	12
Microscypha	0	28	0	28
Minimedusa	0	0	1	1
Minimedusa_polyspora	0	1	0	0
Minimelanolocus	0	1	0	1
Minutisphaera	0	3	0	3
Mobergia	0	1	0	1
Modicella	0	2	0	2
Moesziomyces	0	1	0	0
Mollisia	0	10	0	8
Monilinia	0	1	0	0
Monoblepharella	0	1	0	1
Monodictys_capensis	0	1	0	1
Monographella	0	5	0	1
Monosporascus	0	26	0	23
Monticola	0	1	1	1
Mortierella	0	170	74	92
Mortierellales	151	0	0	86
Mrakia	0	1	0	0
Mrakiella_aquatica	0	6	0	5
Mucor	0	4	4	4
Mucorales	6	0	0	0
Muriphaeosphaeria	0	4	0	4
Murispora	0	20	2	20
Mycena	0	2944	448	808
Mycenella	0	29	0	28
Mycetinis	0	1	0	0
Mycoacia	0	1	1	1
Mycoarthris_corallina	0	1	0	1
Mycocentrospora	0	3	0	3
Mycochaetophora_gentianae	0	2	0	2
Mycoleptodiscus	0	1	0	1
Mycopappus	0	1	0	1
Mycosphaerella	0	202	0	38
Mycotypha	0	1	0	1
Myriangiales	1	0	0	1
Myriospora	0	1	0	1
Myrmecridium	0	9	1	8
Myrothecium	0	105	13	103
Myxocephala_albida	0	1	0	1
Myxotrichum	0	2	0	2
Naevala	0	10	0	7
Naganishia	0	325	0	5
Nakataea	0	2	0	1
Nannizziopsis	0	1	0	1
Naohidea	0	2	0	2
Natantispora	0	1	0	1
Naucoria	0	1	0	0
Nectria	0	45	0	17
Neoascochyta	0	25	0	23
Neobulgaria	0	2	1	2
Neocatenulostroma	0	2	0	1
Neocordana	0	1	0	1
Neodeightonia	0	1	0	1
Neofabraea	0	1	0	1
Neohygrophorus	0	3	0	3
Neonectria	0	1	0	0
Neopeckia_coulteri	0	2	0	2
Neopestalotiopsis	0	1	0	0
Neophaeomoniella	0	3	0	3
Neosphaerellopsis	0	1	0	0
Neostagonospora	0	1	0	0
Neotyphodium	0	972	0	51
Neurospora	0	1	1	1
Nidulariopsis	0	12	1	2
Nigrospora	0	2	0	1
Nodulisporium	0	2	0	2
Nodulosphaeria	0	10	1	10
Nothomitra	0	1	0	1
Nyssopsora	0	1	0	0
Occultifur	0	1	0	1
Ochrocladosporium_adansoniae	0	1	0	0
Ochrocladosporium_frigidarii	0	1	0	0
Ochroconis	0	42	2	25
Octaviania	0	2	0	2
Oculimacula	0	8	0	6
Oedocephalum	0	1	1	1
Oedogoniomyces	0	1	0	1
Oidiodendron	0	13	2	10
Oleoguttula	0	3	0	3
Oliveonia_pauxilla	0	2	0	2
Olpidium	0	3	1	3
Olpitrichum_sphaerosporum	0	2	0	2
Onygenales	2	0	0	2
Ophidiomyces	0	1	0	1
Ophioceras	0	3	0	3
Ophiocordyceps	0	16	0	16
Ophiognomonia	0	2	0	1
Ophiosphaerella	0	265	9	244
Ophiostoma	0	3	0	2
Ophiostomatales	2	0	0	2
Orbilia	0	10	2	10
Orbiliales	5	0	0	5
Orpinomyces	0	1	0	1
Ossicaulis	0	1	0	0
Ostropa	0	1	0	1
Otidea	0	1	0	1
Pachnocybe	0	1	0	1
Paecilomyces	0	1	0	1
Panaeolus	0	10	0	3
Pandora	0	2	0	2
Papiliotrema	0	4	0	3
Paraboeremia	0	4	0	0
Paracamarosporium	0	1	0	1
Paraconiothyrium	0	75	0	75
Paraglomerales	2	0	0	2
Paralepista	0	1	1	1
Paraleptosphaeria	0	2	0	1
Paraphaeosphaeria	0	11	0	8
Paraphoma	0	32	0	4
Parasola	0	1	0	0
Parastagonospora	0	39	0	7
Passalora	0	3	0	2
Passeriniella_obiones	0	9	0	9
Paucispora	0	1	0	1
Paurocotylis	0	1	1	1
Paxillus	0	1	1	1
Pectenia	0	1	0	1
Peltigera	0	3	2	3
Peltigerales	2	0	0	0
Penicillium	0	61	15	21
Peniophora	0	6	1	1
Peniophorella	0	0	1	1
Peniophorella_echinocystis	0	2	0	1
Peniophorella_praetermissa	0	1	0	0
Periconia	0	1	0	1
Peristomialis	0	1	0	1
Perusta	0	14	0	14
Pestalotiopsis	0	2	0	2
Petrakia	0	7	0	7
Peyronellaea	0	2	0	0
Pezicula	0	16	0	15
Pezizales	42	0	0	20
Pezizella	0	1	0	1
Pezizomycotina_incertae sedis	69	0	0	0
Pezizomycotina_incertae_sedis	0	0	0	61
Pezoloma	0	13	3	10
Phacidium	0	4	0	4
Phaeoacremonium	0	10	0	10
Phaeoclavulina	0	5	1	5
Phaeococcomyces	0	2	0	2
Phaeodactylium	0	0	1	1
Phaeodactylium_stadleri	0	1	0	0
Phaeolus	0	1	1	1
Phaeomollisia_piceae	0	1	0	0
Phaeomoniella	0	7	0	7
Phaeomycocentrospora_cantuariensis	0	1	0	1
Phaeophyscia	0	1	1	1
Phaeosphaeria	0	57	4	40
Phaeotheca_fissurella	0	1	0	1
Phaeothecoidea	0	1	0	1
Phaeotremella	0	1	0	1
Phaffia	0	2	0	2
Phanerochaete	0	4	1	3
Phellinus	0	3	3	3
Phellopilus	0	2	1	2
Phellorinia	0	1	1	1
Phialea	0	3	0	3
Phialemonium	0	5	2	5
Phialocephala	0	18	3	13
Phialophora	0	12	1	12
Phlebia	0	1	1	1
Phlebiella	0	1238	911	1237
Phlyctochytrium	0	1	0	1
Pholiota	0	3	0	0
Phoma	0	33	0	11
Phomatospora	0	1	0	1
Phomopsis	0	3	0	1
Phragmocephala	0	47	0	47
Phyllactinia	0	1	0	1
Phylliscum	0	1	0	1
Phylloporia	0	2	0	1
Phyllosticta	0	3	0	3
Phyllotopsis	0	1	0	0
