Isolate,MorphotypeNo,Date_Subculture,Site,Species,Trt,Date_Original,DescriptionTop,DescriptionBottom,Notes,Subcultured,Clustered_morphotype,Archived,New_Notes,DNA,Extraction.plate.NOT.GENEWIZ.PLATES,To_do,Status,Updated_morph,X,OTU,Newest_morph
1456,168,,WM-4,ACLE-7,Warming,,,,,No,26,NA,,NA,,,,,,NA,
1454,168,,WM-4,ACLE-7,Warming,,,,,No,26,NA,,NA,,,,,,NA,
456,187,21-Jul-17,WG-H,ACLE,ELEV,11-Jul-17,opaque,,,Yes,26,Archived,,NA,Tube,find_3,PCR,259,,NA,Extract
454,185,21-Jul-17,WG-H,ELTR,ELEV,11-Jul-17,"opaque, orange center",,,Yes,27,Find,ITS1-FL in SP Plate 2,Sequenced,,,Done,27,,16,16
544,231,22-Jul-17,WM-5,ACLE-2,Control,18-Jul-17,opaque gray,,,Yes,27,Find,,Sequenced,Tube,,Done,276,,36,36
545,231,,WM-5,ACLE-2,Control,,,,,No,27,NA,,NA,,,Done,276,,NA,36
546,231,,WM-5,ACLE-2,Control,,,,,No,27,NA,,NA,,,Done,276,,NA,36
40,25,18-Jul-17,WG-H,FESA,ELEV,11-Jul-17,"white, black fuzz",,,Yes,27,Archived,,NA,,,Done,27,,NA,PCR
1293,25,,TR-H,FESA,ELEV,,,,,No,27,NA,,NA,,,Done,27,,NA,
77,38,18-Jul-17,ER-L,FETH,ELEV,12-Jul-17,opaque,,,Yes,28,Archived,,Sequenced,tube,,Done,28,,14,14
729,298,26-Jul-17,ER-L,TRSP,ELEV,,Orange/yellow,,,Yes,28,Find,ITS1-FL in SP Plate 2,Sequenced,,,Done,28,,14,14
9,7,18-Jul-17,WG-L,TRSP,ELEV,11-Jul-17,"same, fuzzy","black center, white edges",,Yes,28,Archived,,NA,,,Done,28,,NA,14
1271,7,,TR-L,POLE,ELEV,,,,,No,28,NA,,NA,,,Done,28,,NA,14
1272,7,,TR-L,POLE,ELEV,,,,,No,28,NA,,NA,,,Done,28,,NA,14
783,38,,ER-L,FETH,ELEV,,,,,No,28,NA,,NA,,,Done,28,Retry Jan 22nd,NA,14
1383,38,,WM-2,FETH-1,Warming,,,,,No,28,NA,,NA,,,Done,28,,NA,14
78,38,,ER-L,FETH,ELEV,12-Jul-17,,,,No,28,NA,,NA,,,Done,28,,NA,14
781,38,,ER-L,FETH,ELEV,,,,,No,28,NA,,NA,,,Done,28,,NA,14
782,38,,ER-L,FETH,ELEV,,,,,No,28,NA,,NA,,,Done,28,,NA,14
784,38,,ER-L,FETH,ELEV,,,,,No,28,NA,,NA,,,Done,28,,NA,14
785,38,,ER-L,FETH,ELEV,,,,,No,28,NA,,NA,,,Done,28,,NA,14
1382,38,,WM-2,FETH-1,Warming,,,,,No,28,NA,,NA,,,Done,28,,NA,14
1384,38,,WM-2,FETH-1,Warming,,,,,No,28,NA,,NA,,,Done,28,,NA,14
1385,38,,WM-2,FETH-1,Warming,,,,,No,28,NA,,NA,,,Done,28,,NA,14
1386,38,,WM-2,FETH-1,Warming,,,,,No,28,NA,,NA,,,Done,28,,NA,14
1387,38,,WM-2,FETH-1,Warming,,,,,No,28,NA,,NA,,,Done,28,,NA,14
1578,38,,WM-6,FETH-5,Warming,,,,,No,28,NA,,NA,,,Done,28,,NA,14
786,38,,ER-L,FETH,ELEV,,,,,No,28,Archived,,NA,,,Done,28,,NA,14
1388,38,,WM-2,FETH-1,Warming,,,,,No,28,NA,,NA,,,Done,28,,NA,14
75,38,,ER-L,ELEL,ELEV,12-Jul-17,,,,No,28,NA,,NA,,,Done,28,Shipped in Plate 4,NA,14
76,38,,ER-L,ELEL,ELEV,12-Jul-17,,,,No,28,NA,,NA,,,Done,28,,NA,14
271,98,,WM-9,FETH-1,Control,14-Jul-17,,,,No,28,NA,,NA,,,Done,28,,NA,14
1521,98,,WM-4,FETH-2,Warming,,,,,No,28,NA,,NA,,,Done,28,,NA,14
1536,98,,WM-9,FETH-1,Control,,,,,No,28,NA,,NA,,,Done,28,,NA,14
269,98,20-Jul-17,WM-9,FETH-1,Control,14-Jul-17,"webby, white",,,Yes,28,Archived,,NA,,,Done,28,Shipped in Plate 4,NA,14
270,98,,WM-9,FETH-1,Control,14-Jul-17,,,,No,28,NA,,NA,,,Done,28,,NA,14
358,129,20-Jul-17,WM-8,FETH-3,Warming,14-Jul-17,opaque,,,Yes,28,Archived,,NA,,,Done,28,,NA,14
1528,129,,WM-8,FETH-4,Warming,,,,,No,28,NA,,NA,,,Done,28,,NA,14
1529,129,,WM-8,FETH-4,Warming,,,,,No,28,NA,,NA,,,Done,28,,NA,14
1530,129,,WM-8,FETH-4,Warming,,,,,No,28,NA,,NA,,,Done,28,,NA,14
1532,129,,WM-8,FETH-4,Warming,,,,,No,28,NA,,NA,,,Done,28,,NA,14
1531,129,,WM-8,FETH-4,Warming,,,,,No,28,NA,,NA,,,Done,28,,NA,14
362,131,20-Jul-17,WM-8,FETH-1,Warming,14-Jul-17,opaque,,,Yes,28,Archived,,NA,,,Done,28,,NA,14
828,131,,WM-8,FETH-1,Warming,,,,,No,28,NA,,NA,,,Done,28,,NA,14
829,131,,WM-8,FETH-1,Warming,,,,,No,28,NA,,NA,,,Done,28,,NA,14
831,131,,WM-8,FETH-1,Warming,,,,,No,28,NA,,NA,,,Done,28,,NA,14
383,144,21-Jul-17,WM-8,POPR-6,Warming,14-Jul-17,opaque,,,Yes,28,Archived,,NA,,,Done,28,,NA,14
1157,183,,WG-H,POLE,ELEV,,,,,No,28,NA,,NA,,,Done,28,,NA,14
452,183,21-Jul-17,WG-H,POLE,ELEV,11-Jul-17,black,,,Yes,28,Archived,,NA,,,Done,28,Shipped in Plate 4,NA,14
730,298,,ER-L,TRSP,ELEV,,,,,No,28,NA,,NA,,,Done,28,,NA,14
216,78,19-Jul-17,WM-1,ACLE-1,Control,13-Jul-17,clear,,,Yes,29,Find,,DNA failed,,,Done,29,,32,32
1139,78,,WM-1,ACLE-1,Control,,,,,No,29,NA,,NA,,,Done,29,Retry Jan 22nd,,32
217,78,,WM-1,ACLE-1,Control,13-Jul-17,,,,No,29,NA,,NA,,,Done,29,,,32
1140,78,,WM-1,ACLE-1,Control,,,,,No,29,NA,,NA,,,Done,29,,,32
1145,78,,WM-1,ACLE-1,Control,,,,,No,29,NA,,NA,,,Done,29,,,32
1410,78,,WM-1,ACLE-1,Control,,,,,No,29,NA,,NA,,,Done,29,,,32
289,107,20-Jul-17,WM-10,FETH-6,Warming,14-Jul-17,glossy streaks,,,Yes,29,Find,,Sequenced,,,Done,29,,59,59
290,107,,WM-10,FETH-6,Warming,14-Jul-17,,,,No,29,NA,,NA,,,Done,29,,NA,59
1498,107,,WM-10,FETH-6,Warming,,,,,No,29,NA,,NA,,,Done,29,,NA,59
285,105,20-Jul-17,WM-9,FETH-3,Control,14-Jul-17,"shiny, grayish",,,Yes,29,Archived,,NA,,find_2,,29,Shipped in Plate 4,NA,PCR
467,192,22-Jul-17,TR-L,ELTR,ELEV,17-Jul-17,"white, very wispy",,,Yes,30,Find,,PCR,4,find_2,Done,30,,NA,PCR
1104,508,28-Jul-17,WM-3,POPR-4,Control,,"Black, brown edge, fuzzy",,,Yes,31,Find,,Sequenced,,,,31,,4,4
1105,508,,WM-3,POPR-4,Control,,,,,No,31,NA,,NA,,,,31,Shipped in Plate 4,NA,4
702,606,,WM-10,FETH-2,Warming,,,,,No,31,Find,,Sequenced,,,,31,,40,40
1649,146,,WM-7,POPR-3,Control,,,,,No,31,NA,,NA,,,,31,,NA,
385,146,21-Jul-17,WM-7,POPR-3,Control,14-Jul-17,opaque,,,Yes,31,Archived,,NA,,,,31,,NA,
1161,146,,WM-10,POPR-1,Warming,,,,,No,31,NA,,NA,,,,31,Is bacteria,NA,
1163,146,,WM-10,POPR-1,Warming,,,,,No,31,NA,,NA,,,,31,,NA,
1165,146,,WM-10,POPR-1,Warming,,,,,No,31,NA,,NA,,,,31,,NA,
1229,146,,WG-L,POPR,ELEV,,,,,No,31,NA,,NA,,,,31,,NA,
1650,146,,WM-7,POPR-3,Control,,,,,No,31,NA,,NA,,,,31,,NA,
1162,146,,WM-10,POPR-1,Warming,,,,,No,31,NA,,NA,,,,31,Retry Jan 9th,NA,
1162,146,,WM-10,POPR-1,Warming,,,,,No,31,NA,,NA,,,,31,not bacteira something else. ,NA,
402,155,21-Jul-17,WG-L,TRSP,ELEV,11-Jul-17,dark orange,,,Yes,31,Archived,,NA,,,,31,,NA,
410,160,21-Jul-17,WG-L,ELEL,ELEV,11-Jul-17,dark orange,,,Yes,31,Find,,NA,,,,31,,NA,
634,265,,WM-7,FETH-1,Control,,,,,No,31,NA,,NA,,,,31,Retry Jan 22nd,NA,
621,265,,WM-2,ACLE-7,Warming,,,,,No,31,NA,,NA,,,,31,,NA,
631,265,26-Jul-17,WM-7,FETH-1,Control,,Maroon,,,Yes,31,Archived,,NA,,,,31,,NA,Extract
1007,397,28-Jul-17,WM-9,ACLE-6,Control,,Dark red circle,,,Yes,31,Archived,,NA,,,,31,,NA,
900,398,,ER-H,ELTR,ELEV,,Reddish brown,,Check if done. Not done but the morphotype was done,No,31,NA,,NA,,,,31,,NA,
1009,398,28-Jul-17,WM-9,POPR-4,Control,,white elevated fuzz in middle,black/red. entire margin. circular,,Yes,31,Archived,,NA,,,,31,,NA,
1010,398,,WM-9,POPR-4,Control,,,,,No,31,NA,,NA,,,,31,,NA,
1011,398,,WM-9,POPR-4,Control,,,,,No,31,NA,,NA,,,,31,,NA,
1012,398,,WM-9,POPR-4,Control,,,,,No,31,NA,,NA,,,,31,,NA,
1008,398,,WM-9,POPR-4,Control,,,,,No,31,NA,,NA,,,,31,Shipped in Plate 4,NA,
1274,543,29-Jul-17,TR-H,TRSP,ELEV,,"Red center, brown edge",,,Yes,31,Archived,,NA,,,,31,,NA,Extract
1412,553,4-Aug-17,WM-1,ACLE-1,Control,,"Red, rigid.",,,Yes,31,Archived,,NA,,,,31,,NA,
1621,585,2-Aug-17,WM-9,POPR-6,Control,,"dark red, fuzzy",,,Yes,31,Find,,NA,,,,31,,NA,
1622,585,,WM-9,POPR-6,Control,,,,,No,31,NA,,NA,,,,31,,NA,
1623,585,,WM-9,POPR-6,Control,,,,,No,31,NA,,NA,,,,31,,NA,
1624,585,,WM-9,POPR-6,Control,,,,,No,31,NA,,NA,,,,31,,NA,
1626,585,,WM-9,POPR-6,Control,,,,,No,31,NA,,NA,,,,31,,NA,
1625,585,,WM-9,POPR-6,Control,,,,,No,31,NA,,NA,,,,31,,NA,
1652,599,,WM-7,POPR-3,Control,,,,,No,31,NA,,NA,,,,31,,NA,
1651,599,3-Aug-17,WM-7,POPR-3,Control,,Pin kyeast,,,Yes,31,Find,looks red,NA,,,,31,,NA,
703,606,,WM-10,FETH-2,Warming,,,,Needs a morphotype number for these yellow ones. Will fill in later,No,31,NA,,NA,,,,31,Retry Jan 22nd,NA,
704,606,,WM-10,FETH-2,Warming,,,,,No,31,NA,,NA,,,,31,,NA,
705,606,,WM-10,FETH-2,Warming,,,,,No,31,NA,,NA,,,,31,,NA,
706,606,,WM-10,FETH-2,Warming,,,,,No,31,NA,,NA,,,,31,,NA,
244,88,20-Jul-17,WM-9,ACLE-6,Control,14-Jul-17,black opaque,,,Yes,32,Find,,NA,,find_4,Done,32,,NA,
978,384,28-Jul-17,WM-9,POPR-2,Control,,,,,Yes,33,Archived,look up. Does not look like the other 384 mopth,Sequenced,,find,Done,33,,40,40
186,73,19-Jul-17,WM-1,POPR-1,Control,13-Jul-17,red-orange,,,Yes,33,Find,,NA,,,Done,33,,NA,40
922,73,,ER-H,TRSP,ELEV,,,,,No,33,NA,,NA,,,Done,33,Retry Jan 22nd,NA,40
1059,73,,WG-H,TRSP,ELEV,,Dark red fuzzy,,,No,33,NA,,NA,,,Done,33,Retry Jan 22nd,NA,40
913,73,,ER-H,TRSP,ELEV,,,,,No,33,NA,,NA,,,Done,33,,NA,40
919,73,,ER-H,TRSP,ELEV,,,,,No,33,NA,,NA,,,Done,33,,NA,40
920,73,,ER-H,TRSP,ELEV,,,,,No,33,NA,,NA,,,Done,33,,NA,40
921,73,,ER-H,TRSP,ELEV,,,,,No,33,NA,,NA,,,Done,33,,NA,40
1060,73,,WG-H,TRSP,ELEV,,,,,No,33,NA,,NA,,,Done,33,,NA,40
1181,73,,WM-10,POPR-6,Warming,,,,,No,33,NA,,NA,,,Done,33,,NA,40
1182,73,,WM-10,POPR-6,Warming,,,,,No,33,NA,,NA,,,Done,33,,NA,40
1302,73,,WM-10,ACLE-2,Warming,,,,,No,33,NA,,NA,,,Done,33,extracted jan26,NA,40
1363,73,,WM-1,POPR-1,Control,,,,,No,33,NA,,NA,,,Done,33,,NA,40
1364,73,,WM-1,POPR-1,Control,,,,,No,33,NA,,NA,,,Done,33,,NA,40
1365,73,,WM-1,POPR-1,Control,,,,,No,33,NA,,NA,,,Done,33,,NA,40
1495,73,,WM-1,ACLE-6,Control,,,,,No,33,NA,,NA,,,Done,33,,NA,40
1496,73,,WM-1,ACLE-6,Control,,,,,No,33,NA,,NA,,,Done,33,,NA,40
1497,73,,WM-1,ACLE-6,Control,,,,,No,33,NA,,NA,,,Done,33,,NA,40
1539,73,,WM-9,FETH-2,Control,,,,,No,33,NA,,NA,,,Done,33,,NA,40
1540,73,,WM-9,FETH-2,Control,,,,,No,33,NA,,NA,,,Done,33,,NA,40
1541,73,,WM-9,FETH-2,Control,,,,,No,33,NA,,NA,,,Done,33,,NA,40
1542,73,,WM-9,FETH-2,Control,,,,,No,33,NA,,NA,,,Done,33,,NA,40
1543,73,,WM-9,FETH-2,Control,,,,,No,33,NA,,NA,,,Done,33,,NA,40
1303,73,,WM-10,ACLE-2,Warming,,,,,No,33,NA,,NA,,,Done,33,,NA,40
299,110,20-Jul-17,WM-10,ACLE-7,Warming,14-Jul-17,"rusty,opaque",,,Yes,33,Find,,NA,,,Done,33,,NA,40
1215,158,,WG-L,ACNE,ELEV,,,,,No,33,NA,,NA,,,Done,33,,NA,40
405,158,21-Jul-17,WG-L,ACNE,ELEV,11-Jul-17,dark orange,,,Yes,33,Find,,NA,,,Done,33,,NA,40
973,158,,ER-H,ACLE,ELEV,,,,,No,33,NA,,NA,,,Done,33,,NA,40
616,261,26-Jul-17,WM-2,ACLE-7,Warming,,,,,Yes,33,Archived,,NA,,,Done,33,shipped in Plate 4,NA,40
794,311,28-Jul-17,ER-L,FETH,ELEV,,"Reddish, brown",,,Yes,33,Archived,,NA,,,Done,33,Missing,NA,40
795,311,,ER-L,FETH,ELEV,,,,,No,33,NA,,NA,,,Done,33,,NA,40
834,323,28-Jul-17,WM-8,FETH-1,Warming,,reddish black,,,Yes,33,Find,,Sequenced,,,Done,33,,NA,40
871,340,28-Jul-17,WM-1,FETH-6,Control,,reddish circular,,,Yes,33,Archived,,NA,,,Done,33,,NA,40
872,340,,WM-1,FETH-6,Control,,,,,No,33,NA,,NA,,,Done,33,,NA,40
873,340,,WM-1,FETH-6,Control,,,,,No,33,NA,,NA,,,Done,33,,NA,40
874,340,,WM-1,FETH-6,Control,,,,,No,33,NA,,NA,,,Done,33,,NA,40
980,384,,WM-9,POPR-2,Control,,,,,No,33,NA,,NA,,,Done,33,Retry Jan 9th,NA,40
979,384,,WM-9,POPR-2,Control,,,,,No,33,NA,,NA,,,Done,33,,NA,40
981,384,,WM-9,POPR-2,Control,,,,,No,33,NA,,NA,,,Done,33,,NA,40
982,384,28-Jul-17,WM-9,POPR-2,Control,,"Dark red center, orange outside",,,Yes,33,Archived,,NA,,,Done,33,,NA,40
993,390,28-Jul-17,WM-9,ACLE-2,Control,,Dark red ricle,,,Yes,33,Archived,,NA,,,Done,33,,NA,40
1039,493,3-Aug-17,WM-3,POPR-3,Control,,Reddish brown,,,Yes,33,Archived,,NA,,,Done,33,,NA,40
1640,594,2-Aug-17,WM-6,POPR-5,Warming,,REddish white,,,Yes,33,Find,,NA,,,Done,33,,NA,40
280,103,20-Jul-17,WM-10,ACLE-2,Warming,14-Jul-17,"orange, opaque",,,Yes,34,Archived,,Sequenced,ITS1-FL in Plate 2,,Done,34,Retry Jan 9th,59,59
445,180,21-Jul-17,WM-4,POPR-6,Warming,17-Jul-17,orange,,,Yes,34,Archived,,PCR,5,find_3,Done,34,,59,59
1574,103,,WM-7,ACLE-4,Control,,,,,No,34,NA,,NA,,,Done,34,,NA,59
1575,103,,WM-7,ACLE-4,Control,,,,,No,34,NA,,NA,,,Done,34,,NA,59
1576,103,,WM-7,ACLE-4,Control,,,,,No,34,NA,,NA,,,Done,34,,NA,59
443,179,,WM-4,POPR-6,Warming,,,,,No,34,NA,,NA,,,Done,34,,NA,59
47,28,18-Jul-17,WG-L,ACNE,ELEV,11-Jul-17,"opaque, white spots","opaque, white fuzz",,Yes,35,Find,,Sequenced,4,find_4,Done,35,,89,89
56,32,18-Jul-17,ER-H,ELTR,ELEV,13-Jul-17,opaque,,,Yes,35,Find,ITS1-FL in SP Plate 2,Sequenced,2,find_3,Done,35,PCR failed before,89,89
55,32,,ER-H,ELTR,ELEV,13-Jul-17,,,,No,35,NA,,NA,,,Done,35,Retry Jan 22nd,NA,89
1100,507,28-Jul-17,WM-3,POPR-4,Control,,black,brown,,Yes,36,Find,,Sequenced,,,,217,,6,6
875,341,28-Jul-17,WM-1,FETH-6,Control,,"Black, opaque edge",,,Yes,36,Find,,Sequenced,2,,,36,Shipped in Plate 4,59,59
412,159,,WG-L,ELEL,ELEV,11-Jul-17,,,,No,36,NA,,NA,,,,,,NA,
413,159,,WG-L,ELEL,ELEV,11-Jul-17,,,,No,36,NA,,NA,,,,,,NA,
1313,159,,WG-L,ELEL,ELEV,,,,,No,36,NA,,NA,,,,,,NA,
1314,159,,WG-L,ELEL,ELEV,,,,,No,36,NA,,NA,,,,,,NA,
406,159,21-Jul-17,WG-L,ELEL,ELEV,11-Jul-17,"opaque, black center",,,Yes,36,NA,Disregard. There are two cultures labelled 406. One appears to be something different. ,,4 and 5,find_2,,NA,,NA,
581,246,26-Jul-17,WM-8,POPR-4,Warming,,"Light Pink, circular faded edges",,,Yes,36,Find,,DNA Failed,,find_3,Found,36,,NA,PCR
876,341,,WM-1,FETH-6,Control,,,,,No,36,NA,,NA,,,,,,NA,
877,341,,WM-1,FETH-6,Control,,,,,No,36,NA,,NA,,,,,,NA,
1092,503,28-Jul-17,WG-H,POPR,ELEV,,pinkish translucent,,,Yes,36,Archived,,DNA failed,retryjan22,find_3,send,36,,NA,PCR
1093,503,,WG-H,POPR,ELEV,,,,,No,36,NA,,NA,,,,36,,NA,
897,507,,ER-H,ELTR,ELEV,,,,,No,36,NA,,NA,,,,217,Retry Jan 22,NA,
893,507,,ER-H,ELTR,ELEV,,,,,No,36,NA,,NA,,,,217,,NA,
894,507,,ER-H,ELTR,ELEV,,,,,No,36,NA,,NA,,,,217,,NA,
895,507,,ER-H,ELTR,ELEV,,,,,No,36,NA,,NA,,,,217,,NA,
896,507,,ER-H,ELTR,ELEV,,,,,No,36,NA,,NA,,,,217,,NA,
898,507,,ER-H,ELTR,ELEV,,,,,No,36,NA,,NA,,,,217,,NA,
899,507,,ER-H,ELTR,ELEV,,,,,No,36,NA,,NA,,,,217,,NA,
1101,507,,WM-3,POPR-4,Control,,,,,No,36,NA,,NA,,,,217,,NA,
1102,507,,WM-3,POPR-4,Control,,,,,No,36,NA,,NA,,,,217,,NA,
1103,507,,WM-3,POPR-4,Control,,,,,No,36,NA,,NA,,,,217,,NA,
263,96,20-Jul-17,WM-9,POPR-6,Control,14-Jul-17,"clear, grey opaque",,,Yes,37,Find,,Sequenced,tube,find_2,,235,,25,25
711,293,26-Jul-17,ER-L,POLE,ELEV,,"Yellow, globby",,,Yes,37,Find,ITS1-FL in SP Plate 3,Sequenced,,,Done,235,,25,25
44,607,,WG-H,ELTR,ELEV,11-Jul-17,,,,Yes,37,Archived,,Sequenced,2,,,37,,29,29
265,96,,WM-9,POPR-6,Control,14-Jul-17,,,,No,37,NA,,NA,,,,235,,NA,
264,96,,WM-9,POPR-6,Control,14-Jul-17,,,,No,37,NA,,NA,,,,235,,NA,
557,238,22-Jul-17,WM-6,ACLE-5,Warming,18-Jul-17,"white, opaque",,,Yes,37,NA,,DNA Failed,,find_2,Send,261,,NA,PCR
558,238,,ER-L,ACLE,ELEV,,,,,No,37,NA,,NA,,,,261,,NA,
713,293,,ER-L,POLE,ELEV,,,,,No,37,NA,,NA,,,Done,235,,NA,
691,293,26-Jul-17,TR-H,POPR,ELEV,,"Brown/gray, sprawling",,,Yes,37,Find,,PCR,,,,234,,NA,Extract
709,293,,ER-L,POLE,ELEV,,,,,No,37,NA,,NA,,,Done,235,,NA,
710,293,,ER-L,POLE,ELEV,,,,,No,37,NA,,NA,,,Done,235,,NA,
712,293,,ER-L,POLE,ELEV,,,,,No,37,NA,,NA,,,Done,235,,NA,
249,91,20-Jul-17,WM-9,ACLE-1,Control,14-Jul-17,,white and opaque,,Yes,38,Find,,Sequenced,3,,Done,38,Shipped in Plate 4,39,39
253,91,,WM-9,ACLE-1,Control,14-Jul-17,,,,No,38,NA,,NA,,,Done,38,Retry Jan 22nd,NA,39
250,91,,WM-9,ACLE-1,Control,14-Jul-17,,,,No,38,NA,,NA,,,Done,38,,NA,39
251,91,,WM-9,ACLE-1,Control,14-Jul-17,,,,No,38,NA,,NA,,,Done,38,,NA,39
252,91,,WM-9,ACLE-1,Control,14-Jul-17,,,,No,38,NA,,NA,,,Done,38,,NA,39
1600,91,,WM-9,ACLE-1,Control,,,,,No,38,NA,,NA,,,Done,38,,NA,39
1601,91,,WM-9,ACLE-1,Control,,,,,No,38,NA,,NA,,,Done,38,,NA,39
1602,91,,WM-9,ACLE-1,Control,,,,,No,38,NA,,NA,,,Done,38,,NA,39
1603,91,,WM-9,ACLE-1,Control,,,,,No,38,NA,,NA,,,Done,38,,NA,39
1604,91,,WM-9,ACLE-1,Control,,,,,No,38,NA,,NA,,,Done,38,,NA,39
1605,91,,WM-9,ACLE-1,Control,,,,,No,38,NA,,NA,,,Done,38,,NA,39
281,104,20-Jul-17,WM-9,FETH-3,Control,14-Jul-17,"grey, opaque",,,Yes,38,Find,,Sequenced,,,Done,38,,67,67
364,133,20-Jul-17,WM-7,ACLE-2,Control,14-Jul-17,opaque,,,Yes,38,Find,,Sequenced,,,Done,38,,67,67
1250,104,,WM-10,POPR-5,Warming,,,,,No,38,NA,,NA,,,Done,38,Might be bioilluminescence. ,NA,67
1251,104,,WM-10,POPR-5,Warming,,,,,No,38,NA,,NA,,,Done,38,,NA,67
1249,104,,WM-10,POPR-5,Warming,,,,,No,38,NA,,NA,,,Done,38,,NA,67
282,104,,WM-9,FETH-3,Control,14-Jul-17,,,,No,38,NA,,NA,,,Done,38,,NA,67
283,104,,WM-9,FETH-3,Control,14-Jul-17,,,,No,38,NA,,NA,,,Done,38,,NA,67
284,104,,WM-9,FETH-3,Control,14-Jul-17,,,,No,38,NA,,NA,,,Done,38,,NA,67
1252,104,,WM-10,POPR-5,Warming,,,,,No,38,NA,,NA,,,Done,38,,NA,67
1253,104,,WM-10,POPR-5,Warming,,,,,No,38,NA,,NA,,,Done,38,,NA,67
1559,104,,WM-9,FETH-3,Control,,,,,No,38,NA,,NA,,,Done,38,,NA,67
195,75,19-Jul-17,WM-2,POPR-1,Warming,13-Jul-17,"opaque, yellowish tinge",,,Yes,39,Find,,Sequenced,5,find_2,Done,38,,59,59
196,75,,WM-2,POPR-1,Warming,13-Jul-17,,,,No,39,NA,,NA,,,Done,38,,NA,59
197,75,,WM-2,POPR-1,Warming,13-Jul-17,,,,No,39,NA,,NA,,,Done,38,,NA,59
199,75,,WM-2,POPR-1,Warming,13-Jul-17,,,,No,39,NA,,NA,,,Done,38,,NA,59
433,173,21-Jul-17,WM-3,FETH-4,Control,17-Jul-17,opaque,,,Yes,40,Find,,Sequenced,2,find,Done,272,,50,50
1402,173,,WM-3,FETH-5,Control,,,,,No,40,NA,,NA,,,Done,272,,NA,50
582,247,26-Jul-17,WM-8,POPR-4,Warming,,Bright white,White but more of a gradient,,Yes,40,Archived,,Sequenced,5,find_2,Done,151,,68,68
583,247,,WM-8,POPR-4,Warming,,,,,No,40,NA,,NA,,,Done,151,,NA,68
421,166,,WM-3,ACLE-7,Control,17-Jul-17,,,,No,41,NA,,NA,,,,,,NA,
422,166,21-Jul-17,WM-3,ACLE-7,Control,17-Jul-17,"opaque, thready",,,Yes,41,Find,,CTB6,3,Do_PCR of plate 3 again,PCR,,,NA,PCR
423,166,,WM-3,ACLE-7,Control,17-Jul-17,,,,No,41,NA,,NA,,,,,,NA,
1,1,14-Jul-17,WG-L,POPR,ELEV,11-Jul-17,,,,Yes,42,Archived,,Sequenced,,find,,218,,19,19
514,218,22-Jul-17,WM-6,FETH-3,Warming,18-Jul-17,"white, webby","yellow, white hue",,Yes,42,Archived,,Sequenced,Tube,find_2,,218,,19,19
1224,1,,WG-L,POPR,ELEV,,,,,No,42,NA,,NA,,,,,,NA,19
1225,1,,WG-L,POPR,ELEV,,,,,No,42,NA,,NA,,,,,,NA,19
1226,1,,WG-L,POPR,ELEV,,,,,No,42,NA,,NA,,,,,,NA,19
317,115,20-Jul-17,WM-10,FETH-1,Warming,14-Jul-17,white and puffy,"dark green middle, grey radial",,Yes,42,Find,,Sequenced,5,find_3,Done,14,,29,29
318,115,,WM-10,FETH-1,Warming,14-Jul-17,,,,No,42,NA,,NA,,,,,,NA,29
319,115,,WM-10,FETH-1,Warming,14-Jul-17,,,,No,42,NA,,NA,,,,,,NA,29
320,115,,WM-10,FETH-1,Warming,14-Jul-17,,,,No,42,NA,,NA,,,,,,NA,29
653,605,26-Jul-17,WM-2,FETH-2,Warming,,"black center, gradient to edge",,Need to fill in morphotype number,Yes,42,Archived,,Sequenced,Tube,,,,,40,40
1533,575,4-Aug-17,WM-8,FETH-4,Warming,,Brown fuzzy,,Needs a new number,Yes,42,Archived,,Sequenced,,find,,220,,47,47
478,199,22-Jul-17,TR-L,TRSP,ELEV,17-Jul-17,white opaque,,,Yes,42,Archived,,Sequenced,4,find_3,Send,,,94,94
479,199,,TR-L,TRSP,ELEV,,,,,No,42,NA,,NA,,,,,,NA,94
14,10,18-Jul-17,WG-L,ACLE,ELEV,11-Jul-17,"white, clear color",,,Yes,42,Archived,,NA,,,,,,NA,PCR
45,27,,WG-H,ELTR,ELEV,11-Jul-17,,,,No,42,NA,,NA,,,,,,NA,
46,27,18-Jul-17,WG-H,ELTR,ELEV,11-Jul-17,,,,Yes,42,Archived,,DNA Failed,,,,,,NA,Extract
1265,27,,TR-L,POLE,ELEV,,,,,No,42,NA,,NA,,,,,,NA,
120,50,,WM-1,FETH-1,Control,12-Jul-17,,,,No,42,NA,,NA,,,,,,NA,
113,50,,WM-1,FETH-1,Control,12-Jul-17,,,,No,42,NA,,NA,,,,,,NA,
117,50,,WM-1,FETH-1,Control,12-Jul-17,,,,No,42,NA,,NA,,,,,,NA,
118,50,18-Jul-17,WM-1,FETH-1,Control,12-Jul-17,opaque,,,Yes,42,Archived,,DNA failed,Tube,,PCR,,,NA,PCR
119,50,,WM-1,FETH-1,Control,12-Jul-17,,,,No,42,NA,,NA,,,,,,NA,
116,50,,WM-1,FETH-1,Control,12-Jul-17,,,,No,42,NA,,NA,,,,,,NA,
114,50,,WM-1,FETH-1,Control,12-Jul-17,,,,No,42,NA,,NA,,,,,Shipped in Plate 4,NA,
124,53,,WM-2,FETH-2,Warming,12-Jul-17,,,,No,42,NA,,NA,,,,,,NA,
125,53,,WM-2,FETH-2,Warming,12-Jul-17,,,,No,42,NA,,NA,,,,,,NA,
126,53,,WM-2,FETH-2,Warming,12-Jul-17,,,,No,42,NA,,NA,,,,,,NA,
